full_id,supervised assignments
2003_SKT_0053,MIG
2003_SKT_0054,MIG
2003_SKT_0058,MIG
2003_SKT_0059,MIG
2003_SKT_0060,MIG
2003_SKT_0065,MIG
2003_SKT_0067,MIG
2003_SKT_0068,MIG
2003_SKT_0069,MIG
2003_SKT_0073,MIG
2003_SKT_0074,FWR
2003_SKT_0075,FWR
2003_SKT_0076,MIG
2003_SKT_0077,FWR
2003_SKT_0078,MIG
2003_SKT_0079,FWR
2003_SKT_0080,FWR
2003_SKT_0091,FWR
2003_SKT_0093,MIG
2003_SKT_0094,MIG
2003_SKT_0095,MIG
2003_SKT_0096,FWR
2003_SKT_0097,FWR
2003_SKT_0099,FWR
2003_SKT_0100,FWR
2003_SKT_0101,MIG
2003_SKT_0102,FWR
2003_SKT_0104,MIG
2003_SKT_0105,MIG
2003_SKT_0106,MIG
2003_SKT_0123,MIG
2003_SKT_0125,MIG
2003_SKT_0127,MIG
2003_SKT_0128,MIG
2003_SKT_0131,MIG
2003_SKT_0140,FWR
2003_SKT_0141,MIG
2003_SKT_0142,FWR
2003_SKT_0143,MIG
2003_SKT_0144,MIG
2003_SKT_0145,FWR
2003_SKT_0146,MIG
2003_SKT_0149,MIG
2003_SKT_0155,MIG
2003_SKT_0156,FWR
2003_SKT_0157,FWR
2003_SKT_0158,MIG
2003_SKT_0159,MIG
2003_SKT_0160,MIG
2003_SKT_0161,MIG
2003_SKT_0162,FWR
2003_SKT_0163,MIG
2003_SKT_0164,MIG
2003_SKT_0165,MIG
2003_SKT_0166,MIG
2003_SKT_0167,FWR
2003_SKT_0168,MIG
2003_SKT_0169,FWR
2003_SKT_0170,MIG
2003_SKT_0172,FWR
2003_SKT_0173,FWR
2003_SKT_0174,FWR
2003_SKT_0175,FWR
2003_SKT_0176,MIG
2003_SKT_0177,FWR
2003_SKT_0179,MIG
2003_SKT_0180,MIG
2003_SKT_0181,MIG
2003_SKT_0182,MIG
2003_SKT_0183,FWR
2003_SKT_0184,MIG
2003_SKT_0185,MIG
2003_SKT_0186,MIG
2003_SKT_0187,MIG
2003_SKT_0188,MIG
2003_SKT_0190,MIG
2003_SKT_0191,FWR
2003_SKT_0192,FWR
2003_SKT_0194,MIG
2003_SKT_0196,MIG
2003_SKT_0197,MIG
2003_SKT_0198,FWR
2003_SKT_0199,MIG
2003_SKT_0200,FWR
2003_SKT_0201,MIG
2003_SKT_0202,MIG
2003_SKT_0203,FWR
2003_SKT_0205,MIG
2003_SKT_0206,MIG
2003_SKT_0207,FWR
2003_SKT_0208,MIG
2003_SKT_0209,FWR
2003_SKT_0211,FWR
2003_SKT_0212,FWR
2003_SKT_0215,MIG
2003_SKT_0228,FWR
2003_SKT_0229,MIG
2003_SKT_0230,FWR
2003_SKT_0231,MIG
2003_SKT_0232,FWR
2003_SKT_0233,FWR
2003_SKT_0234,MIG
2003_SKT_0235,FWR
2003_SKT_0236,MIG
2003_SKT_0237,MIG
2003_SKT_0238,FWR
2003_SKT_0239,FWR
2003_SKT_0243,MIG
2003_SKT_0290,FWR
2003_SKT_0291,FWR
2003_SKT_0292,MIG
2003_SKT_0294,MIG
2003_SKT_0297,MIG
2003_SKT_0298,FWR
2003_SKT_0299,FWR
2003_SKT_0300,MIG
2003_SKT_0301,MIG
2003_SKT_0302,FWR
2003_SKT_0303,MIG
2003_SKT_0304,MIG
2003_SKT_0305,FWR
2003_SKT_0306,MIG
2003_SKT_0307,MIG
2003_SKT_0309,FWR
2003_SKT_0310,MIG
2003_SKT_0312,MIG
2003_SKT_0313,FWR
2003_SKT_0314,FWR
2003_SKT_0315,MIG
2003_SKT_0316,FWR
2003_SKT_0317,FWR
2003_SKT_0320,FWR
2003_SKT_0321,FWR
2003_SKT_0322,FWR
2003_SKT_0323,FWR
2003_SKT_0324,MIG
2003_SKT_0328,MIG
2003_SKT_0329,FWR
2003_SKT_0331,MIG
2003_SKT_0332,MIG
2003_SKT_0333,MIG
2003_SKT_0334,FWR
2003_SKT_0335,FWR
2003_SKT_0337,MIG
2003_SKT_0338,MIG
2003_SKT_0339,FWR
2003_SKT_0340,MIG
2003_SKT_0341,FWR
2003_SKT_0343,MIG
2003_SKT_0347,FWR
2003_SKT_0348,FWR
2003_SKT_0349,MIG
2003_SKT_0351,FWR
2003_SKT_0352,MIG
2003_SKT_0353,FWR
2003_SKT_0360,MIG
2003_SKT_0361,MIG
2003_SKT_0362,MIG
2003_SKT_0363,MIG
2003_SKT_0365,MIG
2003_SKT_0366,MIG
2003_SKT_0367,MIG
2003_SKT_0371,MIG
2004_SKT_0001,FWR
2004_SKT_0004,MIG
2004_SKT_0005,MIG
2004_SKT_0006,MIG
2004_SKT_0008,MIG
2004_SKT_0012,MIG
2004_SKT_0014,MIG
2004_SKT_0015,MIG
2004_SKT_0016,BWR
2004_SKT_0017,MIG
2004_SKT_0018,MIG
2004_SKT_0019,MIG
2004_SKT_0020,MIG
2004_SKT_0021,BWR
2004_SKT_0022,MIG
2004_SKT_0023,MIG
2004_SKT_0024,MIG
2004_SKT_0025,MIG
2004_SKT_0027,MIG
2004_SKT_0028,MIG
2004_SKT_0029,MIG
2004_SKT_0031,MIG
2004_SKT_0034,MIG
2004_SKT_0038,MIG
2004_SKT_0040,BWR
2004_SKT_0043,MIG
2004_SKT_0044,BWR
2004_SKT_0046,MIG
2004_SKT_0047,MIG
2004_SKT_0051,MIG
2004_SKT_0055,MIG
2004_SKT_0058,MIG
2004_SKT_0059,BWR
2004_SKT_0060,BWR
2004_SKT_0061,MIG
2004_SKT_0063,MIG
2004_SKT_0067,MIG
2004_SKT_0068,FWR
2004_SKT_0069,FWR
2004_SKT_0070,FWR
2004_SKT_0071,MIG
2004_SKT_0073,FWR
2004_SKT_0075,FWR
2004_SKT_0076,MIG
2004_SKT_0078,MIG
2004_SKT_0080,MIG
2004_SKT_0082,MIG
2004_SKT_0083,MIG
2004_SKT_0084,FWR
2004_SKT_0086,MIG
2004_SKT_0087,MIG
2004_SKT_0089,MIG
2004_SKT_0090,MIG
2004_SKT_0092,MIG
2004_SKT_0093,MIG
2004_SKT_0094,MIG
2004_SKT_0096,FWR
2004_SKT_0097,FWR
2004_SKT_0100,FWR
2004_SKT_0101,BWR
2004_SKT_0102,MIG
2004_SKT_0103,MIG
2004_SKT_0104,BWR
2004_SKT_0105,MIG
2004_SKT_0106,MIG
2004_SKT_0107,MIG
2004_SKT_0108,MIG
2004_SKT_0110,MIG
2004_SKT_0111,FWR
2004_SKT_0112,MIG
2004_SKT_0113,MIG
2005_SKT_0001,MIG
2005_SKT_0002,MIG
2005_SKT_0003,MIG
2005_SKT_0006,MIG
2005_SKT_0007,MIG
2005_SKT_0008,MIG
2005_SKT_0009,MIG
2005_SKT_0010,MIG
2005_SKT_0014,MIG
2005_SKT_0015,FWR
2005_SKT_0016,FWR
2005_SKT_0018,MIG
2005_SKT_0027,MIG
2005_SKT_0029,MIG
2005_SKT_0034,FWR
2005_SKT_0042,MIG
2005_SKT_0043,BWR
2005_SKT_0046,MIG
2005_SKT_0047,MIG
2005_SKT_0050,MIG
2005_SKT_0053,MIG
2005_SKT_0054,MIG
2005_SKT_0055,MIG
2005_SKT_0056,MIG
2005_SKT_0061,MIG
2005_SKT_0062,MIG
2005_SKT_0066,MIG
2005_SKT_0071,MIG
2005_SKT_0072,MIG
2005_SKT_0084,MIG
2005_SKT_0087,MIG
2005_SKT_0094,MIG
2005_SKT_0095,MIG
2005_SKT_0096,MIG
2005_SKT_0104,MIG
2005_SKT_0105,MIG
2005_SKT_0106,MIG
2005_SKT_0107,MIG
2005_SKT_0108,MIG
2005_SKT_0113,MIG
2005_SKT_0127,MIG
2005_SKT_0129,MIG
2005_SKT_0148,MIG
2005_SKT_0150,MIG
2005_SKT_0151,MIG
2005_SKT_0158,MIG
2005_SKT_0166,MIG
2005_SKT_0168,MIG
2005_SKT_0169,MIG
2005_SKT_0173,MIG
2005_SKT_0174,MIG
2005_SKT_0197,MIG
2005_SKT_0200,MIG
2005_SKT_0203,MIG
2005_SKT_0204,MIG
2005_SKT_0205,MIG
2005_SKT_0207,MIG
2005_SKT_0208,MIG
2005_SKT_0209,MIG
2005_SKT_0211,BWR
2005_SKT_0212,MIG
2005_SKT_0215,MIG
2005_SKT_0216,MIG
2005_SKT_0218,MIG
2005_SKT_0219,MIG
2005_SKT_0225,FWR
2005_SKT_0227,MIG
2005_SKT_0252,MIG
2005_SKT_0259,MIG
2005_SKT_0260,MIG
2005_SKT_0261,MIG
2005_SKT_0263,MIG
2005_SKT_0269,FWR
2005_SKT_0270,FWR
2005_SKT_0274,MIG
2005_SKT_0277,FWR
2005_SKT_0280,MIG
2005_SKT_0281,MIG
2005_SKT_0282,MIG
2005_SKT_0283,FWR
2005_SKT_0284,MIG
2005_SKT_0285,FWR
2005_SKT_0286,MIG
2005_SKT_0287,MIG
2005_SKT_0290,MIG
2005_SKT_0292,MIG
2005_SKT_0293,MIG
2005_SKT_0301,MIG
2005_SKT_0303,MIG
2005_SKT_0314,MIG
2005_SKT_0315,MIG
2005_SKT_0318,MIG
2005_SKT_0319,MIG
2005_SKT_0320,FWR
2005_SKT_0323,MIG
2005_SKT_0324,MIG
2005_SKT_0328,MIG
2005_SKT_0329,MIG
2005_SKT_0331,MIG
2005_SKT_0332,MIG
2005_SKT_0333,MIG
2005_SKT_0341,MIG
2005_SKT_0342,MIG
2005_SKT_0346,MIG
2005_SKT_0347,MIG
2005_SKT_0348,MIG
2005_SKT_0361,MIG
2005_SKT_0362,MIG
2005_SKT_0363,MIG
2005_SKT_0364,MIG
2005_SKT_0380,MIG
2005_SKT_0381,MIG
2005_SKT_0387,MIG
2005_SKT_0389,MIG
2005_SKT_0391,MIG
2005_SKT_0400,MIG
2005_SKT_0401,MIG
2005_SKT_0406,FWR
2005_SKT_0409,MIG
2005_SKT_0411,MIG
2005_SKT_0412,MIG
2005_SKT_0413,MIG
2005_SKT_0425,MIG
2005_SKT_0426,MIG
2005_SKT_0432,MIG
2005_SKT_0455,MIG
2005_SKT_0457,MIG
2005_SKT_0461,MIG
2005_SKT_0463,MIG
2005_SKT_0474,FWR
2005_SKT_0475,MIG
2005_SKT_0477,FWR
2005_SKT_0478,FWR
2005_SKT_0480,MIG
2005_SKT_0487,MIG
2005_SKT_0489,FWR
2005_SKT_0491,FWR
2005_SKT_0492,FWR
2005_SKT_0508,FWR
2005_SKT_0511,MIG
2005_SKT_0515,MIG
2005_SKT_0537,MIG
2005_SKT_0539,MIG
2005_SKT_0545,MIG
2005_SKT_0547,MIG
2005_SKT_0548,MIG
2005_SKT_0555,FWR
2005_SKT_0556,MIG
2005_SKT_0559,MIG
2005_SKT_0560,FWR
2005_SKT_0565,MIG
2006_SKT_0001,MIG
2006_SKT_0003,MIG
2006_SKT_0004,MIG
2006_SKT_0005,BWR
2006_SKT_0006,MIG
2006_SKT_0007,MIG
2006_SKT_0008,MIG
2006_SKT_0009,MIG
2006_SKT_0010,MIG
2006_SKT_0011,MIG
2006_SKT_0012,MIG
2006_SKT_0013,BWR
2006_SKT_0014,BWR
2006_SKT_0015,MIG
2006_SKT_0016,FWR
2006_SKT_0017,MIG
2006_SKT_0018,MIG
2006_SKT_0020,MIG
2006_SKT_0021,MIG
2006_SKT_0022,MIG
2006_SKT_0023,MIG
2006_SKT_0025,MIG
2006_SKT_0026,MIG
2006_SKT_0027,MIG
2006_SKT_0028,BWR
2006_SKT_0031,FWR
2006_SKT_0032,MIG
2006_SKT_0033,MIG
2006_SKT_0035,MIG
2006_SKT_0037,MIG
2006_SKT_0038,MIG
2006_SKT_0040,MIG
2006_SKT_0041,FWR
2006_SKT_0042,FWR
2006_SKT_0043,MIG
2006_SKT_0044,FWR
2006_SKT_0045,BWR
2006_SKT_0047,MIG
2006_SKT_0048,MIG
2006_SKT_0049,BWR
2006_SKT_0051,MIG
2006_SKT_0052,MIG
2006_SKT_0053,MIG
2006_SKT_0054,MIG
2006_SKT_0057,MIG
2006_SKT_0059,MIG
2006_SKT_0060,BWR
2006_SKT_0061,MIG
2006_SKT_0062,MIG
2006_SKT_0063,FWR
2006_SKT_0067,MIG
2006_SKT_0068,MIG
2006_SKT_0069,MIG
2006_SKT_0071,MIG
2006_SKT_0073,MIG
2006_SKT_0074,MIG
2006_SKT_0077,MIG
2006_SKT_0078,BWR
2006_SKT_0081,MIG
2006_SKT_0082,MIG
2006_SKT_0083,MIG
2006_SKT_0084,MIG
2006_SKT_0085,MIG
2006_SKT_0086,MIG
2006_SKT_0087,MIG
2006_SKT_0088,MIG
2006_SKT_0089,MIG
2006_SKT_0090,MIG
2006_SKT_0091,MIG
2006_SKT_0092,MIG
2006_SKT_0093,MIG
2006_SKT_0094,MIG
2006_SKT_0095,FWR
2006_SKT_0096,MIG
2006_SKT_0100,MIG
2006_SKT_0102,MIG
2006_SKT_0103,MIG
2006_SKT_0105,FWR
2006_SKT_0106,MIG
2006_SKT_0107,FWR
2006_SKT_0108,MIG
2006_SKT_0109,MIG
2006_SKT_0111,MIG
2006_SKT_0112,FWR
2006_SKT_0114,MIG
2006_SKT_0115,MIG
2006_SKT_0116,MIG
2006_SKT_0118,MIG
2006_SKT_0119,BWR
2006_SKT_0121,MIG
2006_SKT_0123,MIG
2006_SKT_0126,MIG
2006_SKT_0127,MIG
2006_SKT_0133,MIG
2006_SKT_0134,MIG
2006_SKT_0200,MIG
2006_SKT_0202,MIG
2006_SKT_0203,MIG
2006_SKT_0204,MIG
2006_SKT_0211,MIG
2006_SKT_0212,MIG
2006_SKT_0214,MIG
2006_SKT_0217,MIG
2006_SKT_0222,BWR
2006_SKT_0225,MIG
2006_SKT_0228,BWR
2006_SKT_0229,MIG
2006_SKT_0230,BWR
2006_SKT_0231,MIG
2006_SKT_0232,MIG
2006_SKT_0233,MIG
2006_SKT_0234,MIG
2006_SKT_0236,MIG
2006_SKT_0239,BWR
2006_SKT_0247,MIG
2006_SKT_0250,BWR
2006_SKT_0251,BWR
2006_SKT_0258,MIG
2006_SKT_0262,MIG
2006_SKT_0263,MIG
2006_SKT_0265,MIG
2006_SKT_0266,MIG
2006_SKT_0269,MIG
2006_SKT_0271,MIG
2006_SKT_0272,MIG
2006_SKT_0274,MIG
2006_SKT_0276,MIG
2006_SKT_0279,MIG
2006_SKT_0280,MIG
2006_SKT_0281,MIG
2006_SKT_0282,MIG
2006_SKT_0283,MIG
2006_SKT_0284,MIG
2006_SKT_0285,MIG
2006_SKT_0286,MIG
2006_SKT_0287,MIG
2006_SKT_0288,MIG
2006_SKT_0289,FWR
2006_SKT_0290,MIG
2006_SKT_0291,MIG
2006_SKT_0292,MIG
2006_SKT_0293,MIG
2006_SKT_0294,MIG
2006_SKT_0295,MIG
2006_SKT_0296,MIG
2006_SKT_0297,FWR
2006_SKT_0299,MIG
2006_SKT_0300,MIG
2006_SKT_0301,MIG
2006_SKT_0302,MIG
2006_SKT_0303,MIG
2006_SKT_0307,MIG
2006_SKT_0308,MIG
2006_SKT_0309,MIG
2006_SKT_0310,MIG
2006_SKT_0311,FWR
2006_SKT_0312,MIG
2006_SKT_0314,MIG
2006_SKT_0316,MIG
2006_SKT_0317,MIG
2006_SKT_0318,MIG
2006_SKT_0320,FWR
2006_SKT_0322,MIG
2006_SKT_0323,MIG
2006_SKT_0324,MIG
2006_SKT_0326,FWR
2006_SKT_0328,BWR
2006_SKT_0329,MIG
2006_SKT_0331,FWR
2006_SKT_0332,FWR
2006_SKT_0333,FWR
2006_SKT_0336,FWR
2006_SKT_0337,MIG
2006_SKT_0338,MIG
2006_SKT_0339,MIG
2006_SKT_0340,MIG
2006_SKT_0342,FWR
2006_SKT_0346,FWR
2006_SKT_0347,MIG
2006_SKT_0348,MIG
2006_SKT_0350,FWR
2006_SKT_0351,FWR
2006_SKT_0352,MIG
2006_SKT_0355,FWR
2006_SKT_0357,MIG
2006_SKT_0359,FWR
2006_SKT_0361,FWR
2006_SKT_0362,MIG
2006_SKT_0364,MIG
2006_SKT_0365,MIG
2006_SKT_0368,MIG
2006_SKT_0369,FWR
2007_SKT_0001,MIG
2007_SKT_0002,MIG
2007_SKT_0003,BWR
2007_SKT_0005,MIG
2007_SKT_0006,MIG
2007_SKT_0008,MIG
2007_SKT_0012,MIG
2007_SKT_0019,BWR
2007_SKT_0021,MIG
2007_SKT_0024,MIG
2007_SKT_0025,MIG
2007_SKT_0026,MIG
2007_SKT_0027,MIG
2007_SKT_0029,MIG
2007_SKT_0034,MIG
2007_SKT_0035,MIG
2007_SKT_0038,MIG
2007_SKT_0039,MIG
2007_SKT_0041,BWR
2007_SKT_0044,BWR
2007_SKT_0046,BWR
2007_SKT_0047,MIG
2007_SKT_0049,MIG
2007_SKT_0052,BWR
2007_SKT_0054,BWR
2007_SKT_0057,MIG
2007_SKT_0059,MIG
2007_SKT_0061,MIG
2007_SKT_0064,MIG
2007_SKT_0067,MIG
2007_SKT_0069,MIG
2007_SKT_0070,BWR
2007_SKT_0074,MIG
2007_SKT_0080,MIG
2007_SKT_0083,MIG
2007_SKT_0085,MIG
2007_SKT_0088,MIG
2007_SKT_0091,MIG
2007_SKT_0092,MIG
2007_SKT_0093,MIG
2007_SKT_0100,BWR
2007_SKT_0102,MIG
2007_SKT_0103,BWR
2007_SKT_0105,MIG
2007_SKT_0107,MIG
2007_SKT_0114,BWR
2007_SKT_0117,BWR
2007_SKT_0119,BWR
2007_SKT_0124,BWR
2007_SKT_0125,MIG
2007_SKT_0131,FWR
2007_SKT_0135,MIG
2007_SKT_0138,MIG
2007_SKT_0141,MIG
2007_SKT_0143,MIG
2007_SKT_0154,MIG
2007_SKT_0156,MIG
2007_SKT_0158,MIG
2007_SKT_0159,MIG
2007_SKT_0161,MIG
2007_SKT_0162,MIG
2007_SKT_0163,MIG
2007_SKT_0164,MIG
2007_SKT_0166,MIG
2007_SKT_0168,MIG
2007_SKT_0170,MIG
2007_SKT_0171,MIG
2007_SKT_0174,MIG
2007_SKT_0175,MIG
2007_SKT_0179,MIG
2007_SKT_0183,MIG
2007_SKT_0186,MIG
2007_SKT_0190,MIG
2007_SKT_0193,MIG
2007_SKT_0195,MIG
2007_SKT_0197,MIG
2007_SKT_0198,MIG
2007_SKT_0200,MIG
2007_SKT_0201,MIG
2007_SKT_0204,MIG
2007_SKT_0205,MIG
2007_SKT_0207,MIG
2007_SKT_0211,MIG
2007_SKT_0212,MIG
2007_SKT_0215,MIG
2007_SKT_0219,MIG
2007_SKT_0230,MIG
2007_SKT_0232,MIG
2007_SKT_0233,BWR
2007_SKT_0239,MIG
2007_SKT_0241,MIG
2007_SKT_0242,MIG
2007_SKT_0243,MIG
2007_SKT_0244,MIG
2007_SKT_0245,MIG
2007_SKT_0246,MIG
2007_SKT_0249,MIG
2007_SKT_0250,MIG
2007_SKT_0252,MIG
2007_SKT_0254,MIG
2007_SKT_0255,MIG
2007_SKT_0259,MIG
2007_SKT_0262,MIG
2007_SKT_0265,BWR
2007_SKT_0268,MIG
2007_SKT_0269,MIG
2007_SKT_0270,MIG
2007_SKT_0271,MIG
2007_SKT_0272,MIG
2007_SKT_0274,MIG
2007_SKT_0275,MIG
2007_SKT_0277,MIG
2007_SKT_0278,MIG
2007_SKT_0279,MIG
2007_SKT_0280,MIG
2007_SKT_0281,MIG
2007_SKT_0282,MIG
2007_SKT_0287,MIG
2007_SKT_0289,MIG
2007_SKT_0290,MIG
2007_SKT_0292,MIG
2007_SKT_0295,MIG
2007_SKT_0298,MIG
2007_SKT_0302,BWR
2007_SKT_0305,MIG
2007_SKT_0310,MIG
2007_SKT_0312,MIG
2007_SKT_0313,MIG
2007_SKT_0315,BWR
2007_SKT_0317,MIG
2007_SKT_0332,MIG
2007_SKT_0337,MIG
2007_SKT_0342,MIG
2007_SKT_0355,MIG
2007_SKT_0357,MIG
2007_SKT_0360,MIG
2007_SKT_0364,MIG
2007_SKT_0365,MIG
2007_SKT_0366,MIG
2007_SKT_0367,MIG
2007_SKT_0368,MIG
2007_SKT_0369,MIG
2007_SKT_0370,MIG
2007_SKT_0371,MIG
2007_SKT_0372,MIG
2007_SKT_0377,MIG
2007_SKT_0378,MIG
2007_SKT_0379,MIG
2007_SKT_0380,MIG
2007_SKT_0381,MIG
2007_SKT_0383,MIG
